owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,"Adjudged Value: $877,917.00 Minimum Bid: $192,085.93",,Harris Co. Tax Sale,TAX_DELINQUENT,,201812599,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201812599,"$877,917.00","$192,085.93",2016 - 2023,,30,tax_delinquency
,"Adjudged Value: $57,179.00 Minimum Bid: $8,849.21",,Harris Co. Tax Sale,TAX_DELINQUENT,,201941120,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201941120,"$57,179.00","$8,849.21",2018 - 2021,,30,tax_delinquency
,"Adjudged Value: $480,369.00 Minimum Bid: $4,985.89",,Harris Co. Tax Sale,TAX_DELINQUENT,,202139949,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202139949,"$480,369.00","$4,985.89",2021 - 2022,,30,tax_delinquency
,"Adjudged Value: $300,000.00 Minimum Bid: $68,819.11",,Harris Co. Tax Sale,TAX_DELINQUENT,,202208601,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202208601,"$300,000.00","$68,819.11",2018 - 2024,,30,tax_delinquency
,"Adjudged Value: $697,361.00 Minimum Bid: $112,896.54",,Harris Co. Tax Sale,TAX_DELINQUENT,,202216565,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202216565,"$697,361.00","$112,896.54",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $60,000.00 Minimum Bid: $23,093.35",,Harris Co. Tax Sale,TAX_DELINQUENT,,202380293,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202380293,"$60,000.00","$23,093.35",2003 - 2024,,30,tax_delinquency
,"Adjudged Value: $155,562.00 Minimum Bid: $128,536.54",,Harris Co. Tax Sale,TAX_DELINQUENT,,202382766,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202382766,"$155,562.00","$128,536.54",2001 - 2024,,30,tax_delinquency
,"Adjudged Value: $229,288.00 Minimum Bid: $29,276.11",,Harris Co. Tax Sale,TAX_DELINQUENT,,202489700,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202489700,"$229,288.00","$29,276.11",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $1,147,920.00 Minimum Bid: $57,224.58",,Harris Co. Tax Sale,TAX_DELINQUENT,,202510915,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202510915,"$1,147,920.00","$57,224.58",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $751,300.00 Minimum Bid: $31,959.56",,Harris Co. Tax Sale,TAX_DELINQUENT,,202517746,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202517746,"$751,300.00","$31,959.56",2022 - 2024,,30,tax_delinquency
,"Adjudged Value: $965,626.00 Minimum Bid: $58,444.08",,Harris Co. Tax Sale,TAX_DELINQUENT,,202517746,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202517746,"$965,626.00","$58,444.08",2022 - 2024,,30,tax_delinquency
,"Adjudged Value: $182,904.00 Minimum Bid: $13,103.59",,Harris Co. Tax Sale,TAX_DELINQUENT,,201938743,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201938743,"$182,904.00","$13,103.59",2017 - 2023,,30,tax_delinquency
,"Adjudged Value: $311,371.00 Minimum Bid: $28,652.52",,Harris Co. Tax Sale,TAX_DELINQUENT,,202124255,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202124255,"$311,371.00","$28,652.52",2019 - 2024,,30,tax_delinquency
,"Adjudged Value: $100,589.00 Minimum Bid: $14,247.51",,Harris Co. Tax Sale,TAX_DELINQUENT,,202416919,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202416919,"$100,589.00","$14,247.51",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $210,627.00 Minimum Bid: $74,657.37",,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,"$210,627.00","$74,657.37",null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201701832,,,null - null,,30,tax_delinquency
,"Adjudged Value: $261,252.00 Minimum Bid: $29,909.88",,Harris Co. Tax Sale,TAX_DELINQUENT,,202276204,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202276204,"$261,252.00","$29,909.88",null - null,,30,tax_delinquency
,"Adjudged Value: $72,750.00 Minimum Bid: $15,662.04",,Harris Co. Tax Sale,TAX_DELINQUENT,,202363011,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202363011,"$72,750.00","$15,662.04",null - null,,30,tax_delinquency
,"Adjudged Value: $437,451.00 Minimum Bid: $25,411.71",,Harris Co. Tax Sale,TAX_DELINQUENT,,202419925,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202419925,"$437,451.00","$25,411.71",null - null,,30,tax_delinquency
,"Adjudged Value: $781,218.00 Minimum Bid: $24,310.54",,Harris Co. Tax Sale,TAX_DELINQUENT,,202427855,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202427855,"$781,218.00","$24,310.54",null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202489279,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202489279,,,yyyy - yyyy,,30,tax_delinquency
